,Suburb,Region,Latitude,Longitude
0,Addington,Christchurch New Zealand,-43.5429362,172.6125849
1,Aranui,Christchurch New Zealand,-43.5144829,172.70823659107043
2,Avondale,Christchurch New Zealand,-43.5029022,172.6874181
3,Avonhead,Christchurch New Zealand,-43.5198723,172.5563302
4,Avonside,Christchurch New Zealand,-43.4945791,172.7083464
5,Beckenham,Christchurch New Zealand,-43.5636661,172.6433613
6,Belfast,Christchurch New Zealand,-43.44888,172.630454
7,Bexley,Christchurch New Zealand,-43.5110351,172.7183763
8,Bishopdale,Christchurch New Zealand,-43.4884343,172.5886622
9,Bottle Lake,Christchurch New Zealand,-43.4625844,172.67628932257577
10,Bromley,Christchurch New Zealand,-43.5378993,172.68615412031687
11,Brooklands,Christchurch New Zealand,-43.4021055,172.6979724
12,Broomfield,Christchurch New Zealand,-43.5266391,172.5295382
13,Bryndwr,Christchurch New Zealand,-43.5043099,172.5929407
14,Burnside,Christchurch New Zealand,-43.5019888,172.5760085
15,Burwood,Christchurch New Zealand,-43.4994151,172.682828
16,Casebrook,Christchurch New Zealand,-43.4791675,172.5999587
17,Cashmere,Christchurch New Zealand,-43.5716034,172.6309889
18,Christchurch Airport,Christchurch New Zealand,-43.4847958,172.53575429898345
19,Christchurch Central,Christchurch New Zealand,-43.5400014,172.6079486
20,Clifton,Christchurch New Zealand,-43.566128,172.7555559
21,Cracroft,Christchurch New Zealand,-43.5821376,172.6108047
22,Dallington,Christchurch New Zealand,-43.5130388,172.6742867
23,Edgeware,Christchurch New Zealand,-43.5136645,172.6472085
24,Fendalton,Christchurch New Zealand,-43.5195232,172.598799
25,Ferrymead,Christchurch New Zealand,-43.55776485,172.70376851960714
26,Halswell,Christchurch New Zealand,-43.5855643,172.57058
27,Harewood,Christchurch New Zealand,-43.4784203,172.55728
28,Heathcote Valley,Christchurch New Zealand,-43.5720357,172.7059225
29,Hei Hei,Christchurch New Zealand,-43.5351658,172.5237112
30,Hillmorton,Christchurch New Zealand,-43.5555634,172.5901785
31,Hillsborough,Christchurch New Zealand,-43.5614563,172.6722487
32,Hoon Hay,Christchurch New Zealand,-43.5633349,172.6078654
33,Hornby,Christchurch New Zealand,-43.5448816,172.5283352
34,Hornby South,Christchurch New Zealand,-43.5511484,172.5171798
35,Huntsbury,Christchurch New Zealand,-43.5675678,172.652408
36,Ilam,Christchurch New Zealand,-43.5165611,172.5720494
37,Islington,Christchurch New Zealand,-43.5425557,172.5060938
38,Kainga,Christchurch New Zealand,-43.4106234,172.6622985
39,Kennedys Bush,Christchurch New Zealand,-43.6018158,172.5906204
40,Linwood,Christchurch New Zealand,-43.5332949,172.6735769
41,Mairehau,Christchurch New Zealand,-43.494364399999995,172.63794881608806
42,Marshland,Christchurch New Zealand,-43.4734359,172.660376
43,Mcleans Island,Christchurch New Zealand,-43.5223059,172.63867583194747
44,Merivale,Christchurch New Zealand,-43.5125788,172.6202653
45,Middleton,Christchurch New Zealand,-43.53404775,172.5753233032779
46,Moncks Bay,Christchurch New Zealand,-43.566388,172.7436021
47,Mount Pleasant,Christchurch New Zealand,-43.5632418,172.7188135
48,New Brighton,Christchurch New Zealand,-43.5068756,172.726317
49,North New Brighton,Christchurch New Zealand,-43.491419300000004,172.7204406899978
50,Northcote,Christchurch New Zealand,-43.4842738,172.606482
51,Northwood,Christchurch New Zealand,-43.4584518,172.6124722
52,Opawa,Christchurch New Zealand,-43.5536905,172.663178
53,Papanui,Christchurch New Zealand,-43.4967917,172.607626
54,Parklands,Christchurch New Zealand,-43.4779389,172.7012434696909
55,Phillipstown,Christchurch New Zealand,-43.5355554,172.6635142
56,Redcliffs,Christchurch New Zealand,-43.5609616,172.7369305
57,Redwood,Christchurch New Zealand,-43.4753837,172.6190919
58,Riccarton,Christchurch New Zealand,-43.5299309,172.598559
59,Richmond,Christchurch New Zealand,-43.5176154,172.6578292
60,Richmond Hill,Christchurch New Zealand,-43.5176154,172.6578292
61,Russley,Christchurch New Zealand,-43.5171668,172.5402477
62,Saint Albans,Christchurch New Zealand,-43.50667835,172.6342113972783
63,Saint Martins,Christchurch New Zealand,-43.5575336,172.653632
64,Shirley,Christchurch New Zealand,-43.499562,172.6611226
65,Sockburn,Christchurch New Zealand,-43.538496,172.5563941
66,Somerfield,Christchurch New Zealand,-43.5623927,172.6257122
67,South New Brighton,Christchurch New Zealand,-43.53207245,172.736367127325
68,Southshore,Christchurch New Zealand,-43.5495144,172.7484196
69,Spreydon,Christchurch New Zealand,-43.5529403,172.6088659
70,Strowan,Christchurch New Zealand,-43.5076083,172.6086151
71,Styx,Christchurch New Zealand,-43.4664949,172.6161066
72,Sumner,Christchurch New Zealand,-43.5514131,172.6103634
73,Sydenham,Christchurch New Zealand,-43.5461633,172.6375103
74,Templeton,Christchurch New Zealand,-43.5504418,172.4770079
75,Upper Riccarton,Christchurch New Zealand,-43.5322738,172.5764985
76,Waimairi Beach,Christchurch New Zealand,-43.4801431,172.7156885854269
77,Wainoni,Christchurch New Zealand,-43.514547050000004,172.69383898875472
78,Waltham,Christchurch New Zealand,-43.5455474,172.6540015
79,Westmorland,Christchurch New Zealand,-43.5796587,172.6041104
80,Wigram,Christchurch New Zealand,-43.5497926,172.5462481
81,Woolston,Christchurch New Zealand,-43.5479113,172.6813945
82,Yaldhurst,Christchurch New Zealand,-43.5127622,172.5057082
83,Arch Hill,Auckland City New Zealand,-36.8660924,174.7459717
84,Auckland CBD,Auckland City New Zealand,-36.848911,174.7652256
85,Avondale,Auckland City New Zealand,-36.8930582,174.692814
86,Balmoral,Auckland City New Zealand,-36.8892046,174.7486941
87,Blackpool,Auckland City New Zealand,-36.7889046,175.0122433
88,Blockhouse Bay,Auckland City New Zealand,-36.9197769,174.70147
89,Eden Terrace,Auckland City New Zealand,-36.8652491,174.756593
90,Eden Valley,Auckland City New Zealand,-36.8767143,174.7512591
91,Ellerslie,Auckland City New Zealand,-36.897603,174.8150298
92,Epsom,Auckland City New Zealand,-36.8858447,174.7734616
93,Freemans Bay,Auckland City New Zealand,-36.8535101,174.7511826
94,Glendowie,Auckland City New Zealand,-36.8581662,174.8705371
95,Glen Innes,Auckland City New Zealand,-36.8755256,174.8599466
96,Grafton,Auckland City New Zealand,-36.8622777,174.767751
97,Greenlane,Auckland City New Zealand,-36.893759,174.7939619
98,Greenwoods Corner,Auckland City New Zealand,-36.9001699,174.7730735
99,Grey Lynn,Auckland City New Zealand,-36.859922,174.7364178
100,Herne Bay,Auckland City New Zealand,-36.8425074,174.7363827
101,Hillsborough,Auckland City New Zealand,-36.9221753,174.7532908
102,Kingsland,Auckland City New Zealand,-36.871195,174.7439365
103,Kohimarama,Auckland City New Zealand,-36.8557576,174.8402328
104,Lynfield,Auckland City New Zealand,-36.9273727,174.7188479
105,Meadowbank,Auckland City New Zealand,-36.8702538,174.82494
106,Mission Bay,Auckland City New Zealand,-36.8498617,174.8336447
107,Morningside,Auckland City New Zealand,-36.8774397,174.7349347
108,Mount Albert,Auckland City New Zealand,-36.8859912,174.7160423
109,Mount Eden,Auckland City New Zealand,-36.87620535,174.76460616169436
110,Mount Roskill,Auckland City New Zealand,-36.912599,174.7372259
111,Mount Wellington,Auckland City New Zealand,-36.9047927,174.8351177
112,Newmarket,Auckland City New Zealand,-36.8683745,174.7806181
113,Newton,Auckland City New Zealand,-36.8625986,174.7604753
114,New Windsor,Auckland City New Zealand,-36.9062704,174.7121463
115,Onehunga,Auckland City New Zealand,-36.9237924,174.7857738
116,Oneroa,Auckland City New Zealand,-36.7819161,175.0098094
117,Onetangi,Auckland City New Zealand,-36.7891861,175.0825819
118,One Tree Hill,Auckland City New Zealand,-36.900172,174.7831302
119,Orakei,Auckland City New Zealand,-36.870288,174.81441538642713
120,Oranga,Auckland City New Zealand,-36.9095335,174.8015141
121,Ostend,Auckland City New Zealand,-36.7981858,175.0447352
122,Otahuhu,Auckland City New Zealand,-36.9457267,174.8451244
123,Owairaka,Auckland City New Zealand,-36.8962642,174.7188161
124,Palm Beach,Auckland City New Zealand,-36.7816563,175.0435805
125,Panmure,Auckland City New Zealand,-36.90125,174.855573
126,Parnell,Auckland City New Zealand,-36.8554763,174.7805576
127,Penrose,Auckland City New Zealand,-36.9111443,174.8147813
128,Point England,Auckland City New Zealand,-36.8847075,174.8652954
129,Point Chevalier,Auckland City New Zealand,-36.8665285,174.7080874
130,Ponsonby,Auckland City New Zealand,-36.8500818,174.7421365
131,Remuera,Auckland City New Zealand,-36.8759344,174.8014178
132,Royal Oak,Auckland City New Zealand,-36.911995,174.7761848
133,Saint Heliers,Auckland City New Zealand,-36.8534529,174.8582612
134,Saint Johns,Auckland City New Zealand,-36.8765875,174.8417411
135,Saint Marys Bay,Auckland City New Zealand,-36.8447404,174.7454914
136,Sandringham,Auckland City New Zealand,-36.8926471,174.7360632
137,Stonefields,Auckland City New Zealand,-36.8872621,174.8418203
138,Tamaki,Auckland City New Zealand,-36.8928,174.8607643
139,Te Papapa,Auckland City New Zealand,-36.9196693,174.7982403
140,Three Kings,Auckland City New Zealand,-36.9025889,174.7608396
141,Waikowhai,Auckland City New Zealand,-36.9281911,174.7376122
142,Wai o Taiki Bay,Auckland City New Zealand,-36.8712597,174.8742742
143,Waterview,Auckland City New Zealand,-36.8774512,174.6989499
144,Western Springs,Auckland City New Zealand,-36.870489,174.7289119
145,Westfield,Auckland City New Zealand,-36.932968,174.8333432
146,Westmere,Auckland City New Zealand,-36.8534456,174.719552
